date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:41	330/330	---M-Z	200	added ('OK')	text/plain	date:Thu,%2003%20Sep%202020%2013:25:38%20GMT	https://www.lse.ac.uk/robots.txt		(from )
16:00:42	101834/101834	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2010:10:24%20GMT	https://www.lse.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/index.html	(from )
16:00:42	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.google-analytics.com/analytics.js	(from https://www.lse.ac.uk/)
16:00:43	386/386	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Sep%202022%2013:53:37%20GMT	https://www.lse.ac.uk/site-elements/css/temp.css?version=1276	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/site-elements/css/tempd357.css	(from https://www.lse.ac.uk/)
16:00:44	344259/344259	---M-Z	200	added ('OK')	text/css	date:Fri,%2023%20Sep%202022%2010:13:50%20GMT	https://www.lse.ac.uk/site-elements/css/lse.css?version=368511	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/site-elements/css/lse36ae.css	(from https://www.lse.ac.uk/)
16:00:45	93113/93113	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2009%20Sep%202022%2011:03:50%20GMT	https://www.lse.ac.uk/WebResource.axd?d=PjUm9HYMtFaBv1w8LgD13UIzsrcgJRMlHl1KVAzF2AgEiZAQn_RB8q1D-OpipawIamHu-r6UwDtePXpIVa2V6pnJ_gcL_OhkiR9WkXq50FLfVzbD0&t=637983218307488338&build=153184	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/WebResourced210.js	(from https://www.lse.ac.uk/)
16:00:45	3014/3014	---M--	200	added ('OK')	image/png	etag:c0675175	https://www.lse.ac.uk/site-elements/img/touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/site-elements/img/touch-icon.png	(from https://www.lse.ac.uk/)
16:00:46	1374/1374	---M--	200	added ('OK')	image/png	etag:256c9ece	https://www.lse.ac.uk/site-elements/img/shortcut-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/site-elements/img/shortcut-icon.png	(from https://www.lse.ac.uk/)
16:00:47	601/601	---M--	200	added ('OK')	image/png	etag:900544f4	https://www.lse.ac.uk/site-elements/img/favicon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/site-elements/img/favicon.png	(from https://www.lse.ac.uk/)
16:00:48	9391/9391	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Sep%202022%2011:23:13%20GMT	https://www.lse.ac.uk/site-elements/js/vendor/modernizr.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/site-elements/js/vendor/modernizr.js	(from https://www.lse.ac.uk/)
16:00:49	10167/10167	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Sep%202022%2011:23:13%20GMT	https://www.lse.ac.uk/site-elements/js/vendor/respond.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.lse.ac.uk/site-elements/js/vendor/respond.js	(from https://www.lse.ac.uk/)
16:00:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Oct%202022%2010:31:38%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web2/Site2/www.googletagmanager.com/gtm.95445.delayed	(from https://www.lse.ac.uk/)
